投稿ID,予定日,投稿時間帯,ピラー,テーマ,本文の冒頭(メモ),ハッシュタグ,note誘導,リンク先,ステータス,いいね数,インプレッション,リプライ数,リポスト数,プロフクリック,noteクリック,メモ・気づき
固定,2026-07-01,終日,固定,自己紹介+note誘導,はじめまして。AIで作業を…,#AI #副業,有,noteトップ,投稿予定,,,,,,,プロフに固定する
A-1,2026-07-01,07:30,A_ノウハウ,AIで薄い文章になる原因,AIに記事を書かせると薄い…,#AI活用 #ライティング,無,,投稿予定,,,,,,,
B-1,2026-07-01,20:00,B_実況,note月5万円チャレンジ開始,【実験開始】今日からnoteで…,#note #AI副業,無,,投稿予定,,,,,,,初日の宣言ポスト
A-2,2026-07-02,07:30,A_ノウハウ,文字数と売上は無関係,Claude Codeで量産して失敗…,#AI活用 #note,無,,投稿予定,,,,,,,
E-1,2026-07-02,12:00,E_問いかけ,どのAIツール使ってる?,AIツール結局どれ使ってますか…,#AI,無,,投稿予定,,,,,,,エンゲージ狙い
C-1,2026-07-02,21:00,C_失敗談,AI丸投げの失敗,AIで記事を量産すれば稼げる…,#AI副業,無,,投稿予定,,,,,,,
A-3,2026-07-03,07:30,A_ノウハウ,自動化は工程分解,AIで作業を自動化するときの…,#AI活用 #自動化,無,,投稿予定,,,,,,,
B-2,2026-07-03,20:00,B_実況,リサーチで分かった単価の事実,note戦略をAIにリサーチ…,#note,無,,投稿予定,,,,,,,
F-1,2026-07-04,20:00,F_CTA,記事自動生成の手順をnoteに,Claude Codeで記事を自動生成…,#AI活用 #note,有,単発note,投稿予定,,,,,,,最初のCTA
A-4,2026-07-05,07:30,A_ノウハウ,Claude Codeが便利な瞬間,ChatGPTよりClaude Code…,#AI活用,無,,投稿予定,,,,,,,
E-2,2026-07-05,12:00,E_問いかけ,AIで稼ぐ一番のハードル,AIで稼ぎたい人に質問…,#AI副業,無,,投稿予定,,,,,,,
B-3,2026-07-06,20:00,B_実況,パイプライン完成,記事の自動生成パイプライン…,#AI #自動化,無,,投稿予定,,,,,,,
A-5,2026-07-07,07:30,A_ノウハウ,効くプロンプトの型,AIプロンプトで一番効く…,#AI活用 #プロンプト,無,,投稿予定,,,,,,,
C-2,2026-07-07,21:00,C_失敗談,最初の有料記事が売れず,最初の有料記事まったく売れず…,#note #AI副業,無,,投稿予定,,,,,,,
D-1,2026-07-08,20:00,D_数字,スタートN日目の数字公開,【公開】noteスタート◯日目…,#note,無,,投稿予定,,,,,,,数字は正直に
A-6,2026-07-09,07:30,A_ノウハウ,設計が9割,AIに任せる前にやると激変…,#AI活用,無,,投稿予定,,,,,,,
E-3,2026-07-09,12:00,E_問いかけ,続けられる仕組み,副業で大事なのは続く仕組み…,#副業,無,,投稿予定,,,,,,,
B-4,2026-07-10,20:00,B_実況,開設報告,今日やったこと:note開設…,#note #AI副業,無,,投稿予定,,,,,,,
C-3,2026-07-11,21:00,C_失敗談,届け方の重要性,SNSゼロから始めて痛感…,#AI副業,無,,投稿予定,,,,,,,
F-2,2026-07-12,20:00,F_CTA,メンバーシップ案内,AIで副業を自動化するシリーズ…,#note #AI副業,有,メンバーシップ,投稿予定,,,,,,,メンバー誘導
E-4,2026-07-13,12:00,E_問いかけ,AI執筆はズルい?,AIに記事を書かせるのはズルい…,#AI,無,,投稿予定,,,,,,,賛否で伸ばす
D-2,2026-07-14,20:00,D_数字,今月の収益公開,今月のnote収益:◯円…,#note,無,,投稿予定,,,,,,,
C-4,2026-07-15,21:00,C_失敗談,規約でやらかしかけた,note運用でやらかしかけた…,#note #AI,無,,投稿予定,,,,,,,
B-5,2026-07-16,20:00,B_実況,淡々と積む期間,無料記事と有料記事を公開…,#note,無,,投稿予定,,,,,,,
F-3,2026-07-17,20:00,F_CTA,初心者向けまとめ記事,AIで何から始めればに全部回答…,#AI活用 #note,有,単発note,投稿予定,,,,,,,
D-3,2026-07-18,20:00,D_数字,伸びた記事の共通点,記事ごとのアクセスを見て…,#note,無,,投稿予定,,,,,,,
